using modified forms
iter     x     y
0   1  1
1   1.0  0.5
2   1.7320508075688772  0.43301270189221935
3   1.902314945932194  0.4118632672940252
4   1.9636650714924069  0.40438075610800917
5   1.9864122863201303  0.40163345114218674
6   1.9949097477571613  0.400611243354449
7   1.9980918687165672  0.4002290339314792
8   1.9992845505793713  0.40008586211625663
9   1.9997317204769791  0.40003219469412865
10   1.9998993971476058  0.40001207250421084
11   1.9999622742071335  0.4000045271179152
12   1.9999858528665935  0.400001697659211
13   1.9999946948304455  0.4000006366207968
14   1.9999980105621868  0.40000023873260093
15   1.9999992539609281  0.40000008952469757
16   1.9999997202353632  0.4000000335717577
17   1.9999998950882634  0.4000000125894086
18   1.999999960658099  0.4000000047210282
19   1.9999999852467871  0.4000000017703856
20   1.999999994467545  0.4000000006638946
21   1.9999999979253296  0.40000000024896043
22   1.9999999992219986  0.4000000000933602
23   1.9999999997082494  0.4000000000350101
24   1.9999999998905935  0.4000000000131288
Root(x,y)=   1.9999999998905935  0.4000000000131288
